Series Number,Size,Rating,Material Name,Fixed Price,Active
91000,1/2,150,SS304 Stem,1200,TRUE
91000,1/2,150,SS316 Stem,1500,TRUE
91000,1/2,300,SS304 Stem,1400,TRUE
91000,1/2,300,SS316 Stem,1700,TRUE
91000,3/4,150,SS304 Stem,1600,TRUE
91000,3/4,150,SS316 Stem,2000,TRUE
91000,1,150,SS304 Stem,2000,TRUE
91000,1,150,SS316 Stem,2500,TRUE
91000,1-1/2,150,SS304 Stem,3000,TRUE
91000,2,150,SS304 Stem,4000,TRUE
92000,1/2,150,SS304 Stem,1300,TRUE
92000,1,150,SS304 Stem,2100,TRUE
92000,2,150,SS304 Stem,4500,TRUE
